,Date,County,Event,Location,Lat,Long,Deaths,Injured,Missing,Houses.Destroyed,Evacuated,Houses.Damaged,Directly.affected,Indirectly.Affected,Relocated,Losses..Local,Education.centers,Damages.in.crops.Ha.,Lost.Cattle,Lost.Goats,Lost.Livestock,source,Comments
12,4/23/2018,Nyandarua,Floods,Kinangop Nyandarua,-0.719112,36.650181,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,EoC,"At Around 1305hrs, Mainstream Media Reported A Drowning Incident At Githabai Village In Kinangop Nyandarua County. A Personal Car With 9 People On Board Was Swept Away While Attempting To Cross A Githabai Seasonal River. Two Men On Board Swam To Safety With The 7 Others Recovered Dead."
13,05-03-17,Marsabit,Floods,Laisamis And North Horr,1.5962079,37.8061146,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,EoC,Talaso (Krcs Rm) Reported  Heavy Amounts Of Rainfall In Marasbit County. Significant Amounts Were Reported In Laisamis And North Horr Sub Counties At 1025hrs. Massive Livestock Deaths Were Also Reported. A Farmer Reported A Loss Of 250 Shoats. Krcs Teams Remain On Standby. (Brief; 250 Shoats)
14,05-09-16,Nairobi,Floods,Kibera Nairobi,-1.3114845,36.7879475,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,EoC,"Floods Incident Was Reported On Saturday Night In Kibera Otiende Area, Klb Branch Conducted An Assessment Yesterday And Found That Approximately Three Households Were Affected."
15,12-01-15,Isiolo,Floods,Isiolo,0.355636,37.5833061,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,At 1130hrs Gitonga (Krcs County Manager) Reported A Case Of Floods In Isiolo County. Heavy Rains Received In Modagashe Area Lead To Flash Floods Submerging Of Approximately 58 Houses. No Reports Of Damages Or Injuries Were Reported. Garbaturra-Modagashe Road Was Rendered Impassable.
16,12-06-15,Kwale,Floods,Nasewa And Lunga Busia,-4.5534909,39.1283506,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,EoC,At 1400hrs Kemboi (County Manager) Reported Flooding Incident In Busia County. Above Average Rainfall Was Received In Nasewa And Lunga Sub-Locations. 68 Households In Nasewa And Lunga Sub-Location Along River Sio Affected By Flooding. Planning For Response Will Be Done Tomorrow. Assessment In The Neighboring Villages Of Kadeki. (Brief: 68hhs)
17,12/16/2015,Laikipia,Floods,Laikipia,0.3606063,36.7819505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 0906hrs, Anthony (Krcs Laikipia) Reported Of A Floods Incident In Laikipia County. Heavy Rainfall Was Received In Most Parts Of The County In The Last 24 Hours. In Lamuria Sub-County Flash Floods Were Reported And Led To Displacement In Ngarinyiro And Mwiyogo A Total Of 64 Households Were Affected. Distribution Of Non Food Items Are Currently Being Distributed In Lamuria Targeting To Reach 64 Households. (Brief; 64hhs)"
18,05-01-17,Narok,Floods,Suswa Narok,-1.1761411,36.3488674,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,"E.o.c Via Social Media Received A Report Of Flash Floods Along Mai Mahiu Road Near Suswa Trading Centre At 1400hrs, The Road Was Rendered Impassable And Several Passengers Have Been Stranded For Several Hours And Heavy Traffic Reported Along The Busy Highway."
19,4/24/2018,Meru,Floods,Ngaremara,0.5049354,37.649315,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,"Gitonga (Krcs Rm) Notified The Eoc Of Flash Floods At Ngaremara Area In Meru County At 1703hrs. Approximately 48hhs Have Been Displaced, Krcs Meru Will Conduct An Assessment To Determine The Extent Of Damage."
20,05-08-17,Kwale,Floods,Mbadi Bridge Kinango,-4.1393386,39.3180297,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,"E.o.c Received Report From (Reuben 0724341356) Of Flood Along Kinango Kwale Road After River Mwache Water Surge Up Cutting Off Transport At Mbadi Bridge In Kinango Sub County Samburu Division Kasomeli Ward As At 1300hrs, Kwale Team Responding To The Scene And Will Update E.o.c."
21,05-07-18,Kisumu,Floods,Ayeyo Village Kisumu,-0.0917016,34.7679568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"Juma (0728779033) Reported Of A Flood Incident At Kimira Village Ayeyo Sub County In Kisumu County At 2119hrs. Settlements And Properties Of Unknown Values Have Been Destroyed By Flood, Krcs Kisumu Will Conduct Assessments In The Area Affected And Give Detail Report."
22,3/16/2018,Turkana,Floods,Turkana,3.3122477,35.5657862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,E.o.c At 2155hrs Via Social Media Captured Reports Of Flash Floods In Turkana County. Heavy Rains Witnessed In The County Resulted Into Flashfloods In Turkana South Motorists Remained Stranded After The Kitale- Eldoret Was Cut Off Following The Bursting Of Seasonal River Kilemorok.
23,3/27/2018,Narok,Floods,Ngasiat River Narok,-1.0875428,35.8770642,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,Edwin (0713275887) Reported To E.o.c At 1952hrs Of Flash Flood That Occurred At Ngasiat River Killing One Female. The Body Of The Deceased Has Not Yet Been Found. The Search For The Body Continues Today.
24,04-11-16,Bungoma,Floods,Bungoma,0.5695252,34.5583766,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,EoC,"At 1232hrs Wekola (Krcs Bungoma) Reported Of Cases That Were As A Result Of Heavy Rainfall Last Evening.  Most Parts Of The County Received Rainfall Above Average, In Sirisia Sub-County Approximately 50hhs Were Affected These Include Schools And Residential Houses. Assessment Was Carried Out Today Later Which A Detailed Report Will Be Shared. (Brief; 50hhs)"
25,4/18/2017,Taita Taveta,Floods,"Manyani, Mombasa Road",-3.0945425,38.493259,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,At 2324hrs Nick Krcs Reported Of A Bus Passenger That Was Washed Away By Heavy Rains At Manyani Area Along The Nairobi Mombasa Highway. Several People Were Still Feared To Be Trapped In Water.
26,4/29/2018,Wajir,Floods,Wajir,1.7488388,40.058633,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"Search And Rescue Operation Is Still Ongoing In Wajir County, Most Areas Remain Impassable Two Bodies Were Retrieved At Matho Area Following A Drowning Incident While Attempting To Cross An Overtopped River.  Several Households Are Reportedly Affected, Assessment Is Ongoing."
27,5/27/2018,Garissa,Floods,Garissa,-0.4532293,39.6460988,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,Otula Krcs North Eastern Reported Floods At Winsor And Madogo Areas Of Garissa County At 0841 Hrs. Water Levels Have Significantly Gone Higher As A Result Overspill Of Masinga Dam Displacing Families In Garissa Besides Paralyzing Transport. Initial Assessment Done By Garissa Team Projects 250 Hhs To Have Been Displaced With Majority Seeking Refuge From Relatives. A Temporary Camp Is Being Set Up At Idi Grounds To Host The Displaced Populations As Well As Relocation To Safer Grounds Awareness. Garissa County Disaster Team And Rcat Are On Ground.
28,4/23/2018,Makueni,Floods,Sultan Hamud Along Mombasa Road,-2.0162387,37.3739661,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,"Gladys Via 0729866448 Reported Flash Floods At Sultan Hamud Area Along Mombasa Road At 1044hrs. The Bridge Near Sultan Hamud Has Since Been Overtopped By Raging Waters Paralyzing Transport At Nairobi-Mombasa Highway. In Addition, Several Families In The Area Marooned Damaging Household Property And Crops. Makueni Krcs Is On Ground Facilitating Assessment"
29,3/18/2018,Samburu,Floods,Samburu East,1.2154506,36.954107,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 1300hrs, Eoc Through Social Media Monitoring Captured An Incident That Was A Result Of Flash Floods In Samburu East Constituency. Two People Were Swept Away While 3 Others Reported To Be Missing. Search And Recovery Operations Ongoing By Samburu County Disaster Team."
30,05-05-16,Kilifi,Floods,Kilifi,-3.5106508,39.9093269,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,EoC,"At 1300hrs, Hassan (Regional Manager) Reported Of Floods In Kilifi County .In Magarini, Bate Sub- Location 55 Households Were Affected And The Village Affected .Currently The Residents Are Being Hosted By Their Relatives. At Kaya Sub Location A Total Of 11 Households Have Been Affected And A Number Of Farms Have Been Damaged .The County Of Government Of Kilifi Supplied Pur Sachets 720 Pieces And 6480 Aqua Tab."
31,4/24/2019,Garissa,Floods,Jarjara Area Of Balambala Garissa,-0.4528916,39.6459487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 1921hrs, Dubow (Krcs Garissa) Notified E.o.c Of A Flash Floods Incident At Jarjara Area Of
Balambala In Garissa County. Several People Were Marooned Following Heavy Rains Experienced
In The Area.the Water Level In Jarjara Area Reduced And All The Families That Were Marooned Were Evacuated
To Safer Areas. However, In Mudey Area The Area Was In Accessible Hindering Assesment Krcs
Garissa To Conduct Assesment Once The Water Level Drops."
32,4/18/2016,Garissa,Floods,Ohio Garissa,40.4172871,-82.907123,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,EoC,"At 0225 At 0225 Hassan (0720884841) Reported Heavy Rainfall On 16/04/2016 In Ohio Village In Balambala Sub County, In Garissa County. 50 Households Were Adversely Affected By Flash Floods, And Household Items Were Reported To Have Been Swept Away By Raging Floods.   (Brief; 50hh)"
33,5/20/2018,Migori,Floods,Migoricident,-1.0706976,34.4752715,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,EoC,"At 1020hrs Elly (Krcs Migori) Reported An Incident That Was A Result Of The Constant Heavy Downpour In The Area. The Water Level In A Dam At Kebarisia Village In Kuria  East, Migori Was Filled Beyond Its Capacity And Later Burst Its Banks Today In The Morning, Approximately 20hhs Have Been Affected. No Injuries Or Fatalities Have Been Reported. People Residing Near The Riverine Areas Have Been Advised To Move Safer Areas."
34,3/17/2018,Kiambu,Floods,Gichiiiki Village Kiambu,-1.1748105,36.8304102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 1645hrs, Gitonga Krcs Reported Flash Floods At Gichiiki Village In Thika Following Heavy Down Pour Reported The Previous Night. The Floods Affected 165hhs According To Assessment Done By Kiambu Rcat. The Community Is Requesting For Nfis Donation From Well-Wishers."
35,04-10-16,Marsabit,Floods,Marsabit,2.3354966,37.9943453,1,0,0,0,0,230,0,0,0,0,0,0,0,0,0,EoC,"At 1028hrs, Evans (Krcs Marsabit) Reported Of A Case Of Drowning In Moyale At The Border Ethiopia And Kenya. An 11 Year Old Boy Was Swept Away By The Raging Water While He Was Attempting To Collect Sand From The River Bank, His Body Was Retrieved And Later Buried. Heavy Rainfall Was Received Since Last Evening Into The Morning, With Moyale And North Horr Registering The Highest Amounts Of Rainfall. The Moyale Border Bridge Linking Kenya And Ethiopia Also Collapsed. County Government Of Marsabit And Krcs Team Are Planning To Do A Rapid Assessment Tomorrow. (Brief; 1fatality)"
36,4/22/2018,Kajiado,Floods,Loitoktok Kajiado,-2.924797,37.508143,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,EoC,"Leonard (0716771972) Reported To E.o.c At 1943hrs Of An Incident Where A Woman Was Carried Away By The Flash Floods In Loitoktok Kajiado County, The Woman Was In Company Of 6 Others Who Were Rescued By Well-Wishers. The Body Of The Lady Is Still Missing, Krcs Kajiado And The County Government Working Together In Searching Of The Body."
37,03-07-18,Embu,Floods,Kiamberere Embu,-0.684527,37.792961,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 0953hrs, Eoc Via Social Media Captured A Report Of Drowning Incident At Kiruri River, Kiambere In Embu County. Five Nursery School Girls Were Swept Away By Raging Floods Water As They Were Attempting To Cross The River. Three Among Them Were Swept Away And Their Bodies Were Retrieved By Villagers, Two Others Were Rescued By Villagers And Taken To Embu Level Seven Hospital"
38,05-07-18,Lamu,Floods,Milihoi Along Lamu  Malindi Highway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,Kawthar (Krcs Lamu) Reported Of Flash Floods At Milihoi Area Along Lamu- Malindi Highway At 2309hrs. A Section Of Lamu  Malindi Road Was Cut Off At Milihoi. Several Motorists Were Stranded For Several Hours. Motorists Have Been Advised To Use Alternative Routes.
39,07-04-17,Nakuru,Floods,Rhonda And Ponda Mali Area Nakuru,-0.3030988,36.080026,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,EoC,"E.o.c Received A Flood Report Via Media And Confirmed With Krcs Nakuru Who Reported More Than 50hh Were Affected, Property Destroyed And Poultry Washed Away By Flood Water That Resulted From A Burst On The Sewer System After Heavy Downpour In The Area. Krcs Team Mitigating Response To The Affected Families As Some Families Have Integrated With The Neighbors While Others Are Camping At The Chiefs Camp"
40,3/19/2018,Kisumu,Floods,Ngeny Office Area Kisumu,-0.0917016,34.7679568,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,EoC,"Margaret (0723881160) Reported To E.o.c At 1959hrs Of A Flooding Incident At Ngeny Muhoroni Kisumu County, 8hh Have Been Affected And They Are Taking Refuge At Ngeny Primary School."
41,10-05-16,Nakuru,Floods,Rhonda And Ponda Mali Nakuru,-0.3081843,36.0625148,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,EoC,"Krcs Nakuru Gichimu Reported Flood In Rhonda And Ponda Mali In Nakuru At 0717hrs After Heavy Downpour Experienced In The Area Overnight, Krcs Rcat Team Responded To The Scene And Reported 19hh Affected In Rhonda And 96hh Affected In Ponda Mali Due To Poor Drainage System. The Families Have Gone Back To The Homes After The Water Subsided. (Brief: 115hh)"
42,5/20/2018,Kakamega,Floods,Kakamega,0.2827307,34.7518631,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,EoC,"Eupreshia (Krcs Kakamega) Reported Of Flash Floods At Namalale Area In Matungu Ward, Kakamega County At 1523hrs. The Rains Affected At Least 20hhs, The Krcs Team Conducted An Assesment. A 53 Year Old Man Drowned In River Retego While Attempting To Cross, Search And Retrieval Was Conducted And His Body Was Retrieved."
43,1/17/2016,Nairobi,Floods,Kariobangi South,-1.2648837,36.8922847,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,"Magdalene Reported Floods In Kariobangi South Near Kariobangi South Primary School At 1900hrs, Poor Drainage And Clogged Drainage Channels Due To Poor Waste Deposit In The Area Is. Several Plots Around The Area Were Marooned With Dirty Water For Several Hours Before The Water Had Subsided.
Several Roads Were Also Rendered Impassable Due To Raging Flood Water Cutting Across The Roads Mainly Along Kangundo/ Eastern Bypass Intersection, In Utawala, Umoja And Also Along Thika Road Around Roysambu."
44,5/29/2016,Marsabit,Floods,North Horr,3.3206461,37.0695478,0,0,2,0,0,,0,0,0,0,0,0,0,0,0,EoC,"Krcs Marsabit Rm Reported That Heavy Downpour In North Horr And Southern Ethiopia Has Caused Flash Flood In The Area And Roads Cut Off While In Laisamis Sub County An Estimated 200 Shoats Were Swept By Flood And 2 Boys (10 & 14 Years Old) Reported Missing. Krcs Response Team Have Not Been Able To Maneuver And Access The Affected Areas. (Brief: 2 Boys Missing, Approximately 200 Shoats Swept Away)"
45,05-05-18,Kirinyaga,Floods,Kerugoya Town Kirinyaga,-0.4993281,37.2784835,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,EoC,"Gitonga (Krcs Central) Reported A Flooding Incident Was Reported At Kerugoya Town In Kirinyaga County Following Heavy Rains Reported In The Country. In Addition, Motorists Got Stranded For Around 4 Hours Owing To Overflow Of Rukanga Bridge Near Makutano Along Nyeri-Kerinyanga Road. Assessment Done By Central Krcs Ascertained 16 Hhs Affected By The Raging Waters."
46,4/16/2018,Mandera,Floods,Hadaburudi Area Mandera Co,3.9356389,41.8551162,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,EoC,"Flash Floods Were Reported At 1425hrs At Hadaburudi Area In Mandera That Swept Away 4 Latrines And 4hh, Rcat Mandera To Conduct Assessment And Share Report."
47,05-02-17,Nairobi,Floods,Nairobi Balozi South B,-1.3199197,36.8480724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"E.o.c Via Media Received Report Of Drowning Incident In Nairobi At Balozi South B After Heavy Downpour In Nairobi, A 3 Year Old Boy Drowned In A Pool Of Water And Died. The Scene Was Cleared By Nps Officers. (Brief: 1 Fatality)"
48,11-07-17,Marsabit,Floods,Laisamis,1.5962079,37.8061146,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At Around 1850hrs, Talaso Regional Manager Reported A Drowning Incident At Laisamis Sub County. 2 School Children (A Boy And A Girl Aged 10 And 12 Years) From Kamboe Primary School. Bodies Were Retrieved And Were Taken Logologo Health Center"
49,3/13/2018,Narok,Floods,"Majengo, Narok",-1.2860894,36.8425202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At Around 2111hrs, Omondi (Krcs Narok) Reported Of Flash Floods At Kumi Kumi River Near Majengo In Narok County. One Person Drowned While Attempting To Cross The River After It Had Swollen. The Body Was Taken To Narok Mortuary By Kws Rangers"
50,09-08-18,Baringo,Floods,Baringo,0.8554988,36.0893406,1,0,0,430,0,0,0,0,0,0,0,0,0,0,0,EoC,Eoc Received Reports Of Flash Floods Reports At 0830hrs.the Roads Were Destroyed Following A Heavy Down Pour That Caused River Perkera To Divert Its Route And Into The Settlements. An Elderly Man Was Found Dead As A Result Of Drowning. Approximately 430 Families Have Been Displaced.
51,4/29/2016,Muranga,Floods,Gakiria Maragua,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,EoC,"Krcs Maragua, Muranga County Government, Kenya Police And The Locals Have Been Searching For An Old Lady Believed To Have Been Buried After A Landslide Affected Gakiria Village In Maragua. Heavy Downpour Has Continuously Been Hampering Sar Effort By The Response Teams For The Past 4 Days While Trying To Recover An Old Lady."
52,12/18/2015,Kakamega,Floods,Malaa Village Mumias Kakamega,0.3332218,34.4877423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,EoC,"At 0906hrs, Odongo (Krcs Kakamega) Reported Of A Floods Incident In Kakamega County.  Average Rainfall As Received In Most Parts Of The County. In Kakamega Town, It Rained In The Afternoon Into The Evening. An Incident Was Reported In Malaa Village In Mumias Sub-County Where Landslide Hit A Family House With 5 Members. No Injuries Were Reported However"
53,05-12-17,Siaya,Floods,Uhembo And Kamalunga Villages,-0.0617328,34.2421597,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,EoC,"At 1025hrs, James (Krcs Siaya) Reported Of An Incident That Was As A Result Of Heavy Downpour. The Water Level At Kamahu Dam In Alego Usonga Increased And Later The Dam Burst Resulting Into Flash Floods In Uhembo And Kamalunga Villages. Approximately 50hhs Have Been Reported To Be Affected. Joint Assessment Was Conducted And A Report Will Be Shared."
54,11/26/2017,Narok,Floods,Narok Town,-1.0875428,35.8770642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"Omondi Krcs Narok Reported Flash Floods At 1740hrs In Narok Town Affecting Naivasha And Stage Areas, Krcs Team To Conduct Assessment To Ascertain The Extent Of Damage Caused During The Incident"
55,6/18/2018,Tana River,Floods,Kipini Tana River,-2.5265605,40.529246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 1302hrs, Mainstream Media Reported Floods At Kipini Area Of Tana River County Following Continuous Down Pour In The Last 3 Months Damaging Homes, Crops And Infrastructure Across The County. In Addition, Cases Of Cholera Have Been Reported Which Have Since Been Neutralized By The M.o.h Alongside Tana River Krcs Team. Residents Are Further Appealing For A Long Term Humanitarian Intervention To Facilitate Reconstruction To The Affected"
56,02-11-16,Kajiado,Floods,Isinya,-1.6727148,36.8425202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 0405hrs, David (0721355361) Reported Of A Case Of Floods At Isinya, Kajiado County. The Water Level At River Isinya Increased Beyond Its Capacity And Broke Its Bank. Assessment Was Conducted Today By Krcs Kajiado And The Results Were 30 Households Were Affected, 6 Goats Were Reported Missing, 5 Goats And 8 Chicken Were Swept Away By Flash Floods. No Fatality Or Injury Was Reported .Latrines Have Also Collapsed And Flower Farm Chemicals Were Swept Away From A Factory And Spilled To Compounds Creating A Health Risk To The Residents.(Brief;30hhs;11goats;8chicken)"
57,03-07-18,Machakos,Floods,Machakos,-1.5176837,37.2634146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,At 0920hrs Eoc Through Social Media Monitoring Captured An Incident That Was As A Result Of Heavy Downpour In Machakos County.  Motorists Were Stuck At Kivingoni Market For Several Hours After A Culvert Collapsed In Mbembani Junction Along Ekalakala-Matuu Road. More Than Twenty Lorries Transporting Sand Were Stuck.
58,5/13/2018,Kitui,Floods,Kitui Flash Flods Update,-1.3750813,37.9952144,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 14555hrs, Usna Krcs Kitui, Reported Of Four Bodies Have Been Retrieved At Enziu River With The Wreckage Of The Probox. All The Four Bodies Have Been Identified By The Family Members. One Body Of A Form One Student Still To Be Retrieved."
59,12-12-18,Kisumu,Floods,Lwala Village,-0.5,34.366667,0,0,0,1440      69,0,0,0,0,0,0,0,0,0,0,0,EoC,"At 0127hrs, Seth Via 0725699682 Reported Of Flash Floods At Lwala Village In Kisumu County. River Awach Burst Its Banks And Led To Flash Floods, The Water Level Subsisded After A Few Hours.  Elsewhere In Nyando Sub- County At Least 22hhs Were Affected In Ombaka, Kawino, Ugwe And Nduru Areas. They Are Currently Camping At A Nearby Church."
60,07-12-17,Turkana,Floods,Along Lodwar- Kakuma Road,3.7117861,34.8614195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EoC,Nick Thuo (0720334240) At 0600hrs Reported Of A Traffic Gridlock Along Lodwar- Kakuma Road Following Heavy Rains In Turkana Overnight That Made Several Seasonal Rivers To Be Full.
61,05-02-17,Wajir,Floods,Kolodile Wajir,2.9901912,39.3149316,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,EoC,"Abdia Krcs Coordinator Reported Floods In Wajir At Kolodile After 2 Dams Burst Bank And The Water Flooded The Village, Krcs Team Will Conduct An Assessment And Share Report."
62,03-04-18,Kilifi,Floods,Magarini Area Kilifi,-3.033333,40.066667,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,EoC,"Masoud (Krcs Kilifi) Reported Of Flash Floods In Kisiki Cha Mzungu Village In Magarani At 1020hrs. Several Households In The Villages Were Reportedly Affected By The Heavy Downpour, Assessment Was Conducted During The Day And The Report Will Be Shared After Completion. Reports Indicate That The Water Level At Galana River Is Steadily Increasing, This May Likely Result Info Flashfloods If It Rises Beyond Its Threshold. Krcs Kilifi Team Are Closely Monitoring The Situation."
