,place_id,place_name,place_address,place_lat,place_long,country,phone_number,website,url,adm_lvl_1,adm_lvl_2
18,ChIJTYCm3n2jiYUR4Yr57O0nFks,Cruz Roja Guatemalteca de la Juventud,"Centro Histórico de, Guatemala",14.6451757,-90.51099669999999,Guatemala,+502 2381 6535,http://www.cruzroja.gt/,https://maps.google.com/?cid=5410555905168739041,Guatemala,unknown
7,ChIJqbOu17eniYUR95t1klVx4bM,CAI Cruz Roja Giuatemalteca,"Villa Nueva, Guatemala",14.527736,-90.5903318,Guatemala,+502 6626 9713,unknown,https://maps.google.com/?cid=12961765814892338167,Guatemala Department,unknown
13,ChIJAQA0IxWiiYUREnFzeK0cB60,Comité Internacional de la Cruz Roja (CICR),"11 Calle 11-28, Ciudad de Guatemala, Guatemala",14.6371215,-90.5078604,Guatemala,+502 2232 5550,http://www.icrc.org/,https://maps.google.com/?cid=12467965624774258962,Guatemala,unknown
15,ChIJ64_t_OHxjoURrP-54z2jwP4,Cruz Roja Guatemalteca Delegación Retalhuleu,"Casa N°. 2 Colonia San Josecito, 11 Calle, Retalhuleu 11001, Guatemala",14.5414893,-91.67628169999999,Guatemala,+502 7771 5520,http://www.cruzroja.gt/,https://maps.google.com/?cid=18356851567371091884,Retalhuleu,unknown
19,ChIJZfilJtijiYURDXkw9XcIMXQ,Farmacia Cruz Roja Guatemalteca | Ciudad de Guatemala,"3A Calle 8-40, Ciudad de Guatemala 01001, Guatemala",14.645307,-90.5108125,Guatemala,+502 2381 6503,http://www.cruzroja.gt/,https://maps.google.com/?cid=8372482493566187789,Guatemala,unknown
7,ChIJc0TAgZ1vjoURDyR3BMIfVEo,"Campo de Fútbol, CRUZ ROJA","El Tumbador, Guatemala",14.806056,-92.00391859999999,Guatemala,unknown,unknown,https://maps.google.com/?cid=5355940775009395727,San Marcos Department,unknown
7,ChIJ_20mEW-ajoUR37SdHfwv7-Y,Cruz Roja Concepción Chiquirichapa,"Quetzaltenango, Guatemala",14.8553793,-91.62585519999999,Guatemala,unknown,unknown,https://maps.google.com/?cid=16640571908032410847,Quetzaltenango Department,unknown
0,ChIJibRJ9HwwYo8Rd7aVM1FfLGA,Cruz Roja Guatemalteca Delegación Chiquimula,"Chiquimula, Guatemala",14.8023571,-89.5423814,Guatemala,+502 7942 2303,https://www.cruzroja.gt/delegaciones/chiquimula/,https://maps.google.com/?cid=6930018728978790007,Chiquimula Department,unknown
5,ChIJHUzqc5UrjIURpH_watAfoLU,Cruz Roja Guatemalteca Delegacion Serchil,"RN-12N, Guatemala",15.0469738,-91.81141919999999,Guatemala,unknown,unknown,https://maps.google.com/?cid=13087495497146466212,San Marcos,unknown
2,ChIJ0dYkTpjxi4URXgFG8g3E7KU,Cruz Roja Guatemalteca delegacion Sacapulas,"Sacapulas, Guatemala",15.2895072,-91.0891163,Guatemala,+502 7755 6776,unknown,https://maps.google.com/?cid=11956146674940117342,Quiché Department,unknown
2,ChIJnTYwZEUXioUR1jlleWOZKIQ,"Cruz Roja Guatemalteca, Delegación Purulhá","Purulha, Guatemala",15.2329402,-90.2342584,Guatemala,+502 7792 0707,unknown,https://maps.google.com/?cid=9523030064592402902,Baja Verapaz Department,unknown
3,ChIJYyVqvTNBioURYz1eRrYxIHU,Cruz Roja Guatemalteca Delegación Cobán,"2-13, 2a Calle, Cobán, Guatemala",15.469403,-90.3718126,Guatemala,+502 7952 1459,http://www.cruzroja.gt/,https://maps.google.com/?cid=8439800360626699619,Alta Verapaz,unknown
1,ChIJ6R7N8zkJYY8RevzLvh8eNoM,Cruz Roja.,"El Estor, Guatemala",15.5283085,-89.3331171,Guatemala,+502 7949 7691,https://www.cruzroja.gt/delegaciones/el-estor/,https://maps.google.com/?cid=9454777589404793978,Izabal Department,unknown
10,ChIJtXyNdvXZZo8RWQSOR4VrHsI,Cruz Roja Guatemalteca,"Puerto Barrios, Guatemala",15.6848485,-88.61670939999999,Guatemala,+502 7942 2303,http://www.cruzroja.gt/,https://maps.google.com/?cid=13987735712834651225,Izabal Department,unknown
14,ChIJ6XMK8TkJYY8Ra0Ya65vDY3Y,Cruz Roja Guatemalteca,"El Estor, Guatemala",15.5283032,-89.33298459999999,Guatemala,unknown,unknown,https://maps.google.com/?cid=8530877193601566315,Izabal Department,unknown
5,ChIJqx3W2APZZo8Rot0mb2Orrt8,"CONALFA, Coordinación Izabal","14 calle entre 15 y 16 Av. Frente a Cruz Roja., 14a Calle, Puerto Barrios, Guatemala",15.7265831,-88.59019610000001,Guatemala,+502 7948 8922,http://www.conalfa.edu.gt/,https://maps.google.com/?cid=16118008559960513954,Izabal,unknown
