DATE_TIME,REGION,COUNTIES,NAME,TYPE,SCENE,MINOR_CAS,CRITICAL_CAS,RESCUED,MISSING,DEAD,DAMAGE,SITUATION,RESPONSE_KRCS,HH AFFECTED
03-11-14,West Kenya,None,"DROWNING INCIDENT AT R. NYANKORE,MIGORI COUNTY",Floods," NYANKORE, MIGORI COUNTY",0,0,0,0,1,-,A male nursing officer attached to Nyanguge Dispensary in Kuria West Sub County Migori County was reported to have been swept away while crossing R. Nyankore with a motorbike at 1900Hrs after heavy rain. KRCS Migori to dispatch And  they managed to recover the body,. KRCS Migori ,0
18-04-17,Coast,Taita Taveta,A BUS WASHED AWAY BY HEAVY RAINS,Floods,"MANYANI, MOMBASA ROAD",0,0,0,0,0,-,At 2324hrs Nick KRCS reported of a bus passenger that was washed away by heavy rains at manyani area along the Nairobi Mombasa highway. Several people were still feared to be trapped in water.,-,0
29-04-18,North Eastern,Wajir,WAJIR FLOODS SITUATION UPDATE,Floods,WAJIR FLOODS SITUATION UPDATE,0,0,0,0,2,0,"Search and rescue operation is still ongoing in Wajir County, most areas remain impassable Two bodies were retrieved at Matho area following a drowning incident while attempting to cross an overtopped river.  Several households are reportedly affected, assessment is ongoing. ",,0
27-05-18,North Eastern,Garissa,FLOODS IN GARISSA COUNTY ,Floods,FLOODS IN GARISSA COUNTY ,0,0,0,0,0,Approximately 250 HHs,Otula KRCS North Eastern reported floods at Winsor and Madogo Areas of Garissa County at 0841 hrs. Water levels have significantly gone higher as a result overspill of Masinga Dam displacing families in Garissa besides paralyzing transport. Initial assessment done by Garissa Team projects 250 HHs to have been displaced with majority seeking refuge from relatives. A temporary camp is being set up at Idi Grounds to host the displaced populations as well as relocation to safer grounds awareness. Garissa County Disaster Team and RCAT are on ground. ,,0
23-04-18,Lower Eastern,Makueni,FLASH FLOODS AT SULTAN HAMUD ALONG MOMBASA ROAD ,Floods,SULTAN HAMUD ALONG MOMBASA ROAD ,0,0,0,0,0,Several HHs marooned and their properties destroyed. ,"Gladys via 0729866448 reported flash floods at Sultan Hamud Area along Mombasa Road at 1044hrs. The bridge near Sultan Hamud has since been overtopped by raging waters paralyzing transport at Nairobi-Mombasa Highway. In addition, several families in the area marooned damaging household property and crops. Makueni KRCS is on ground facilitating assessment",,0
18-03-18,Upper Eastern,Samburu,FLASH FLOODS IN SAMBURU EAST,Floods,SAMBURU EAST,0,0,0,3,2,0,"At 1300hrs, EOC through Social media monitoring captured an incident that was a result of flash floods in Samburu East Constituency. Two people were swept away while 3 others reported to be missing. Search and Recovery operations ongoing by Samburu County Disaster Team. ",,0
05-05-16,Coast,Kilifi,KILIFI FLOODS INCIDENT,Floods,KILIFI ,0,0,0,0,0,55 Hh,"At 1300hrs, Hassan (Regional Manager) reported of floods in Kilifi County .In Magarini, Bate sub- location 55 households were affected and the village affected .Currently the residents are being hosted by their relatives. At Kaya sub location a total of 11 households have been affected and a number of farms have been damaged .The County of Government of Kilifi supplied PUR sachets 720 pieces and 6480 aqua tab.",KRCS KILIFI,0
24-04-19,North Eastern,Garissa,"FLASH FLOODS IN BALAMBALA SUB COUN, GARISSA COUNTY",Floods,Jarjara area of Balambala in Garissa County,0,0,0,0,0,0,"At 1921hrs, Dubow (KRCS Garissa) notified E.O.C of a flash floods incident at Jarjara area of
Balambala in Garissa County. Several people were marooned following heavy rains experienced
in the area.The water level in Jarjara area reduced and all the families that were marooned were evacuated
to safer areas. However, in Mudey area the area was in accessible hindering Assesment KRCS
Garissa to conduct Assesment once the water level drops.",,0
31-07-12,Upper Eastern,None,FLOOD ALERT IN SAMBURU ,Floods,SAMBURU,0,0,0,0,0,-,"At 1910Hrs KRCS Samburu branch reported to EOC an alert on floods after Loosuk, Lolkunono, Lesidai and Loiborkare schools submerged and a vehicle swept away. Instantaneous assessment was done by the branch and a report will be out by 1st August 2012.",-,0
18-04-16,North Eastern,Garissa,FLOODS REPORTED IN OHIO IN GARISSA COUNTY,Floods,OHIO IN GARISSA COUNTY,0,0,0,0,0,50Hh,"At 0225 At 0225 Hassan (0720884841) reported heavy rainfall on 16/04/2016 in Ohio village in Balambala Sub County, in Garissa County. 50 households were adversely affected by flash floods, and household items were reported to have been swept away by raging floods.   (Brief; 50HH)




",0,0
30-11-15,West Kenya,None,FLOODING IN MIGORI COUNTY,Floods,Nyatike Sub-County in Migori County.,0,0,0,0,0,0,At 1129hrs Roche (KRCS County Manager) reported flooding incident due to the heavy rainfall been witnessed in the last 3 days in Nyatike Sub-County in Migori County.  KRCS have established 2 evacuation centres in Nyora and Kabuto areas respectively. They are currently doing house registration to see how to assist the affected families.,KRCS Migori,0
05-04-15,Lower Eastern,None,"FLASH FLOOD IN KAVUTHU, MAKUENI COUNTY",Floods,"FLASH FLOOD IN KAVUTHU, MAKUENI COUNTY",0,0,0,0,0,0,"Dr. Maundu (0722884105) alerted E.O.C about a flash flood that affected Kavuthu in Makueni County at 2032hrs, KRCS Makueni County Manager was informed and has sent a team to carry out assessment and will update E.O.C during the day. ",KRCS assessment,0
20-05-18,Nairobi,Migori,MIGORI FLASH FLOODS INCIDENT,Floods,MIGORI FLASH FLOODS INCIDENT,0,0,0,0,0,20 HHs affected. ,"At 1020hrs Elly (KRCS Migori) reported an incident that was a result of the constant heavy downpour in the area. The water level in a dam at Kebarisia village in Kuria  East, Migori was filled beyond its capacity and later burst its banks today in the morning, approximately 20Hhs have been affected. No injuries or fatalities have been reported. People residing near the riverine areas have been advised to move safer areas. ",,0
17-03-18,Central,Kiambu,FLASH FLOODS AT GICHIIIKI VILLAGE IN KIAMBU COUNTY,Floods,GICHIIIKI VILLAGE IN KIAMBU COUNTY,0,0,0,0,0,0,"At 1645hrs, Gitonga KRCS reported flash floods at Gichiiki Village in Thika following heavy down pour reported the previous night. The floods affected 165HHs according to assessment done by Kiambu RCAT. The community is requesting for NFIs donation from well-wishers.",,0
10-04-16,Upper Eastern,Marsabit,MARSABIT FLOODS INCIDENT,Floods,Marsabit,0,0,0,0,1,"230Hh
50 herds of cattle swept away","At 1028hrs, Evans (KRCS Marsabit) reported of a case of drowning in Moyale at the border Ethiopia and Kenya. An 11 year old boy was swept away by the raging water while he was attempting to collect sand from the river bank, his body was retrieved and later buried. Heavy rainfall was received since last evening into the morning, with Moyale and North Horr registering the highest amounts of rainfall. The Moyale Border Bridge linking Kenya and Ethiopia also collapsed. County Government of Marsabit and KRCS team are planning to do a rapid assessment tomorrow. (Brief; 1fatality)",KRCS Marsabit,0
22-04-18,Lower Eastern,Kajiado,FLASH FLOODS INCIDENTS IN LOITOKTOK KAJIADO COUNTY,Floods, LOITOKTOK KAJIADO COUNTY,0,0,0,1,0,Property of an unknown value destroyed. ,"Leonard (0716771972) reported to E.O.C at 1943hrs of an incident where a woman was carried away by the flash floods in Loitoktok Kajiado County, the woman was in company of 6 others who were rescued by well-wishers. The body of the lady is still missing, KRCS Kajiado and the County government working together in searching of the body.",,0
07-03-18,Central,Embu,DROWNING INCEDENT AT KIAMBERERE EMBU COUNTY,Floods,AT KIAMBERERE EMBU COUNTY,2,0,0,0,3,0,"At 0953hrs, EOC via social media captured a report of drowning incident at Kiruri River, Kiambere in Embu County. Five nursery school girls were swept away by raging floods water as they were attempting to cross the river. Three among them were swept away and their bodies were retrieved by villagers, two others were rescued by villagers and taken to Embu level seven hospital",,0
07-05-18,Coast,Lamu,FLOODS AT MILIHOI ALONG LAMU – MALINDI HIGHWAY,Floods,FLOODS AT MILIHOI ALONG LAMU – MALINDI HIGHWAY,0,0,0,0,0,0,Kawthar (KRCS LAMU) reported of flash floods at Milihoi area along Lamu- Malindi highway at 2309hrs. A section of Lamu – Malindi road was cut off at Milihoi. Several motorists were stranded for several hours. Motorists have been advised to use alternative routes.,,0
04-07-17,South Rift,Nakuru,"	FLASH FLOODS REPORTED AT RHONDA AND PONDA MALI",Floods,AT RHONDA AND PONDA MALI AREA IN NAKURU,0,0,0,0,0,50hhs,"E.O.C received a flood report via media and confirmed with KRCS Nakuru who reported more than 50HH were affected, property destroyed and poultry washed away by flood water that resulted from a burst on the sewer system after heavy downpour in the area. KRCS team mitigating response to the affected families as some families have integrated with the neighbors while others are camping at the chief’s camp",KRCS,0
19-03-18,West Kenya,Kisumu,FLASH FLOODS INCIDENTS IN NGENY OFFICE AREA KISUMU,Floods,NGENY OFFICE AREA KISUMU COUNTY,0,0,0,0,0,8HHs. ,"Margaret (0723881160) reported to E.O.C at 1959hrs of a flooding incident at Ngeny Muhoroni Kisumu County, 8HH have been affected and they are taking refuge at Ngeny primary school. ",,0
